id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20231130182207,1,0,0,0,0,./data/covid,sali,212013,20000,0,1,25,285,848,422305,422305,422305,422305,21347.8,1866,100,8.46147e+09,1,0,0,64,20000
20240113221652,1,0,0,0,0,../GRE/data/fbu,alex,27594199,200,0,1,12,19,57,300,1095,1095,1095,34.7,1866,100,6925.83,1,0,0,64,200
20240114113308,1,0,0,0,0,../GRE/data/fbu,alex,23420026,200,0,1,12,18,53,726,2312,2312,2312,45.78,1866,100,30315.8,1,0,0,64,200
20240115221104,1,0,0,0,0,../GRE/data/fbu,alex,3783729,2000,0,1,29,119,450,10275,26355,26355,26355,386.985,1866,100,3.96795e+06,1,0,0,64,2000
20240115221157,0,1,0,0,0,../GRE/data/fbu,alex,281666,18000,0,1,100,840,2632,260973,1.10146e+06,1.10146e+06,1.10146e+06,8930.9,1866,100,6.39779e+09,1,0,0,64,20000
20240115221204,0,1,0,0,0,../GRE/data/fbu,alex,387876,9000,0,1,69,545,1254,10933,10933,10933,10933,793.66,1866,100,1.41592e+06,1,0,0,64,10000
20240115221233,0.5,0.5,0,0,0,../GRE/data/fbu,alex,715770,18000,0,1,35,408,983,113170,288051,288051,288051,2572.91,1866,100,4.73575e+08,1,0,0,64,20000
20240115221310,1,0,0,0,0,../GRE/data/fbu,alex,2323879,2000,0,1,47,195,804,3395,9810,9810,9810,384.62,1866,100,622159,1,0,0,64,2000
20240115221318,1,0,0,0,0,../GRE/data/fbu,alex,2266949,20000,0,1,36,269,779,3646,12554,12554,12554,440.615,1866,100,924240,1,0,0,64,20000
20240115221326,1,0,0,0,0,../GRE/data/fbu,alex,1217735,200000,0,1,42,606,1467,11794,12165,12165,12165,850.91,1866,100,1.6873e+06,1,0,0,64,200000
20240115221332,1,0,0,0,0,../GRE/data/fbu,alex,1486631,200000,0,1,35,505,1447,4805,11949,11949,11949,696.985,1866,100,988566,1,0,0,64,200000
20240115221335,1,0,0,0,0,../GRE/data/fbu,alex,546969,200000,0,1,39,1060,3672,16998,55903,55903,55903,1963.21,1866,100,1.9492e+07,1,0,0,64,200000
20240115221339,1,0,0,0,0,../GRE/data/fbu,alex,1421486,200000,0,1,45,495,1323,6472,10433,10433,10433,694.735,1866,100,964117,1,0,0,64,200000
20240115230832,1,0,0,0,0,../GRE/data/fbu,alex,1552487,20000,0,1,27,315,998,7085,14013,14013,14013,545.795,1866,100,1.36681e+06,1,0,0,64,20000
20240115230840,1,0,0,0,0,../GRE/data/fbu,alex,2008177,20000,0,1,24,298,842,2947,9297,9297,9297,449.985,1866,100,590213,1,0,0,64,20000
20240115231123,1,0,0,0,0,../GRE/data/fbu,alex,2139460,200000,0,1,24,309,760,1991,18293,24036,24036,430.469,1866,100,803767,1,0,0,64,200000
20240115231134,1,0,0,0,0,../GRE/data/fbu,alex,1959474,200000,0,1,24,360,822,1873,15493,25048,25048,472.086,1866,100,825879,1,0,0,64,200000
20240115231231,0.5,0.5,0,0,0,../GRE/data/fbu,alex,190031,1000000,0,1,60,1003,1888,5897,109577,2.29594e+06,2.29594e+06,2426.9,1866,100,2.64026e+09,1,0,0,64,2000000
20240115231553,0.5,0.5,0,0,0,../GRE/data/fbu,alex,1181123,10000,0,1,29,312,749,2689,78310,78435,78435,607.621,1866,100,1.19056e+07,1,0,0,64,20000
20240115231748,0.5,0.5,0,0,0,../GRE/data/fbu,alex,1377149,10000,28018208,1,31,263,649,3282,139469,163321,163321,689.156,1866,100,3.24496e+07,1,0,0,64,20000
20240115232219,0.5,0.5,0,0,0,../GRE/data/fbu,alex,1183839,10000,28018208,1,32,301,743,5202,235781,246153,246153,1032.94,1866,100,9.86662e+07,1,0,0,64,20000
20240115232345,0.5,0.5,0,0,0,../GRE/data/fbu,sali,286504,10000,8338816,1,22,195,575,3083,16458,21613,21613,353.327,1866,100,880143,1,0,0,64,20000
20240115232408,0.5,0.5,0,0,0,../GRE/data/fbu,alex,1129697,10000,28018208,1,29,309,750,4399,119063,217914,217914,858.282,1866,100,4.73851e+07,1,0,0,64,20000
20240115232430,0.5,0.5,0,0,0,../GRE/data/fbu,alex,1248552,10000,28018208,1,26,293,710,10475,161528,192758,192758,1082.78,1866,100,7.54454e+07,1,0,0,64,20000
20240115232443,0.5,0.5,0,0,0,../GRE/data/fbu,sali,933691,10000,6320704,1,21,176,532,2241,12337,23851,23851,301.014,1866,100,545302,1,0,0,64,20000
20240116102132,1,0,0,0,0,../GRE/data/covid,alex,1727480,2000000,16751200,1,28,311,765,1886,16369,50565,51354,419.232,1866,100,1.18493e+06,1,0,0,64,2000000
20240116102206,1,0,0,0,0,../GRE/data/covid,alex,2690098,2000000,16751200,1,21,68,360,1007,14119,29409,36453,186.483,1866,100,570447,1,0,0,64,2000000
20240116102224,1,0,0,0,0,../GRE/data/covid,alex,2515194,2000000,16751200,1,24,78,398,1085,7637,40936,45240,193.175,1866,100,480168,1,0,0,64,2000000
